cycleId,cyclePattern,cycleType,cycleClass,region,partner
1,DC;POS;DC,Typical,partnerCycle,Europe,Sonae
2,DC;DC;POS;DC,Typical,partnerCycle,Europe,Sonae
3,DC;POS;POS;DC,Typical,partnerCycle,Europe,Sonae
4,DC;POS;DC;DC,Typical,partnerCycle,Europe,Sonae
5,DC;POS;POS;DC;DC,Typical,partnerCycle,Europe,Sonae
6,DC;DC;POS;POS;DC,Typical,partnerCycle,Europe,Sonae
7,DC;DC;POS;DC;DC,Typical,partnerCycle,Europe,Sonae
8,DC;DC;POS;POS;DC;DC,Typical,partnerCycle,Europe,Sonae
9,DC;POS;DC,Typical,partnerCycle,Europe,Dino
10,DC;POS,Typical,partnerCycle,Europe,Carrefour
11,DC;DC;POS,Typical,partnerCycle,Europe,Carrefour
12,DC;POS;DC,Typical,partnerCycle,Europe,Dia
13,DC;DC;POS;DC,Typical,partnerCycle,Europe,Dia
14,DC;POS;DC,Typical,partnerCycle,Europe,Bonpreu
15,DC;ANY;DC,Atypical,partnerCycle,Europe,Sonae
16,DC;ANY;DC,Atypical,partnerCycle,Europe,Dino
17,DC;ANY;POS,Atypical,partnerCycle,Europe,Carrefour
18,DC;ANY;DC,Atypical,partnerCycle,Europe,Dia
19,DC;ANY;DC,Atypical,partnerCycle,Europe,Bonpreu
