region,locationType,ifcoSystemPartner,locationTag,locationName,extLocationId,countryName
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Vialonga,f0108b53-c5fd-4fa1-99c0-40800d8430b0,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Fabrica do Cobre,789cfadd-4dd4-4f2e-a30b-d7c8ce6ba42d,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Acquaroma,885fdd9a-26ac-4e3b-9e92-416995615f95,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Vila Conde Outlet,a0f59557-1fe5-4bca-bc45-f5be54834373,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Porto - Av. da Boavista,180e09fb-e54a-4003-bd48-320381b9ac76,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Torres Novas,31857f80-7a16-4bb7-b38d-7a66ed0095e9,Portugal
EU,Producer,null,PRD,Horticolas da Fundacao Unipessoal,805f6097-f02f-4337-9b4c-11684302721b,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Cacem,ce03b702-9a94-4842-8618-75be93f17f99,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Rio Maior,1d68c6fe-eee7-41d9-8e72-9da4471d135b,Portugal
EU,Producer,null,PRD,CALCOB Coop. A.L.C. Oliveira Bairro,17e86505-c4d4-4202-9e8e-a8fdeb93db6e,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Amial,30a864b7-a06f-48db-bf1f-9bb395a78020,Portugal
EU,Producer,null,PRD,Perugel - Soc. Comercial de Carnes,bb9f30f3-76b2-4f26-a1dc-12fb403a16b3,Portugal
EU,Producer,null,PRD,Alcino Monteiro Fernandes Vagos,09ce03c1-5312-469e-b13b-e51972e17640,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Vagos,cc59896d-d464-4ef0-b18c-1d604e81ea31,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Rua da Palma,f9c32941-3180-40ed-93a0-0b90e02870ae,Portugal
EU,Shop / Point of Sale,AUCHAN,POS,AUCHAN MAIA - 26,69cc3370-4620-45f0-a8c8-2f5fd27879dd,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Maia Jardim,408a8836-bc46-4814-9513-81b1a4e43018,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Bombarral,1deb3499-30cc-43cd-bf60-5c6f1ecb5752,Portugal
EU,Producer,null,PRD,LUSOFRUTA,4c1461e3-5433-4386-85c4-3d1fab18dc02,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Matosinhos Sul,42538fe0-d493-4250-a6c1-bef255b5081a,Portugal
EU,Producer,null,PRD,Simples e Frescas Lda.,3e11aca7-21eb-4b67-8c1b-266ab80d69ae,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Faro - Montenegro,206594fd-19ae-4bad-b9de-b6a43030f7e9,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Sao Joao da Talha,fe097650-1718-4075-804d-d5fe6f758a29,Portugal
EU,Distribution Centre,Transaire,DC,Transaire Alverca,0643f92d-2f85-4983-9d0a-38966053f7c1,Portugal
EU,Producer,null,PRD,Pec Nordeste - Indústria de Produtos,ac4678d1-d5b6-4047-a138-d40d2de8526a,Portugal
EU,Producer,null,PRD,"Hortijafer Unipessoal, Lda.",c846d417-dbb5-4f1a-b05a-95dae781b83c,Portugal
EU,Producer,null,PRD,Horticolas Saturnino Lda.,2e423d35-d60f-409d-bfe3-e91bb3344745,Portugal
EU,Producer,null,PRD,Andre Filipe Pereira Simas Couto,f9fe83bd-8be1-415a-b041-7e0e8bd06884,Portugal
EU,Shop / Point of Sale,Sonae,POS,CBD PAREDES CENTRO - 5739,afeee59d-052d-49fa-814c-b46d16cb94fa,Portugal
EU,Producer,null,PRD,Avipronto Produtos Aliment. S. A.,29c26275-95f0-4df8-9232-86e4d697eebf,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Maia,a1ba5222-4dfb-41f4-b219-1d58993e7efd,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Oia,e6d4daee-92e7-4f94-95b7-4d34bcee8fc3,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Alto do Lumiar,b56aa892-2d4b-4856-9f46-56dfed36f290,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Braga,d275b6e6-b4b4-4043-a951-371f1b04025c,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Anadia,d53e22e3-b7bc-423b-b940-af4928ffec1a,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Camara de Lobos,0586d235-3686-469b-b7b3-a894dbd4da68,Portugal
EU,Producer,null,PRD,"NLS COM ? Comercio de Horticolas, Lda.",c6729292-5281-4307-8fe4-049e256a125d,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Campo 24 agosto,5d38cc42-545e-4e61-a91d-f9c4c19b9ebc,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Telheiras,1fd11347-2fe9-48e6-9b30-27234ef6fd8d,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Setubal - Estrada de Palmela,d46127b3-9b7b-4532-b069-5b685520462d,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Sao Joao da Madeira,e39b4e3b-3cee-4440-9889-89cd5c1061e7,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Darque,62cd2761-ea7a-4af8-982d-6a5d7fbd1c8f,Portugal
EU,Shop / Point of Sale,AUCHAN,POS,AUCHAN ALFRAGIDE - 25,f1a02deb-3782-44bf-9dab-38e262ab1af3,Portugal
EU,Shop / Point of Sale,AUCHAN,POS,MA Almirante Reis - 409,a946fba8-8881-40ca-be44-2d456598953f,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Beja,164b231c-5b1a-4bdc-adb3-7f5acb9696a0,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Santo Tirso,aa845b38-455a-4a96-a779-97a071a68ea7,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Albufeira,0c32c3a4-325b-4f8d-929b-7816bd0c7b87,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Alverca,6178029e-a40e-4198-8864-cbcd153f7eee,Portugal
EU,Producer,null,PRD,Horticruz Armazenista Lda,070f8be4-fbaa-4595-8271-7d5578801efe,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Abrantes,d4b8c705-18c1-48d6-bc2f-176238887b16,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Laranjeiro,22fe6960-9168-4ca5-b063-f985130a61f1,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Evora,83759ba2-5ce4-46b8-a062-abdb4172024c,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Praia da Vitoria,ab53f0fc-1b6a-472c-80bf-c4d7455208c1,Portugal
EU,Shop / Point of Sale,AUCHAN,POS,AUCHAN COINA - 19,0f5dc0f7-134b-4f9d-9221-9095d6739d78,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Faja de Baixo,0557ce11-82bc-48a9-9862-ede0cdf46f5e,Portugal
EU,Producer,null,PRD,Planicieverde - Soc. Agricola Lda.,55456833-531c-4779-817c-e370368bf252,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Sesimbra,4f649813-6cbd-4777-a6e9-2b3a7f506e91,Portugal
