sensorId,attachedAt,attachedTill,assetId,sensorTechnology
I000003,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121366291,GPS
I000004,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349287,GPS
I000005,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121366281,GPS
I000011,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349195,GPS
I000018,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349274,GPS
I000020,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349288,GPS
I000023,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349153,GPS
I000035,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121366197,GPS
I000047,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121366221,GPS
I000054,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121366248,GPS
I000060,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349152,GPS
I000069,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121366272,GPS
I000076,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121366200,GPS
I000085,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121366271,GPS
I000099,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349263,GPS
I000105,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324180,GPS
I000115,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324202,GPS
I000124,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324213,GPS
I000130,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324210,GPS
I000145,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324300,GPS
I000146,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324174,GPS
I000148,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324272,GPS
I000155,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324299,GPS
I000184,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324298,GPS
I000198,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003003125100112232121324191,GPS
I000219,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324403,GPS
I000224,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324327,GPS
I000234,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324342,GPS
I000242,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324354,GPS
I000246,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324431,GPS
I000250,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324370,GPS
I000259,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324426,GPS
I000268,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324361,GPS
I000282,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324398,GPS
I000287,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324335,GPS
I000302,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324993,GPS
I000310,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324352,GPS
I000311,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324376,GPS
I000324,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324186,GPS
I000333,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121325056,GPS
I000337,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121325020,GPS
I000370,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324269,GPS
I000380,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121325066,GPS
I000386,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121325035,GPS
I000417,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121344662,GPS
I000448,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121344655,GPS
I000493,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121344647,GPS
I000506,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121366234,GPS
I000509,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121325007,GPS
I000529,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121325078,GPS
I000547,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324253,GPS
I000552,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324262,GPS
I000554,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121325106,GPS
